id,author_id,date,topic,keywords,engagement,civility
101,499,2021-01-04,blacklivesmatter,protest,48,0.612
102,7,2021-07-20,capitol,liberty|fraud,16,0.52
103,245,2021-04-25,climate,environment|climate change,424,0.557
104,352,2020-03-07,immigra,deportation|diversity,129,0.64
105,214,2020-06-04,capitol,committee,122,0.532
106,220,2021-06-19,blacklivesmatter,activism|protest,295,0.589
107,339,2021-08-05,climate,sustainability|hoax|renewable energy,35,0.616
108,81,2020-06-09,immigra,innovation,120,0.789
109,441,2021-02-22,capitol,fraud|committee,49,0.39
110,302,2020-03-13,covid,quarantine|social distancing|anti-mask,234,0.408
111,73,2021-03-11,blacklivesmatter,riots,46,0.124
112,423,2020-03-02,immigra,immigration law,135,0.528
113,257,2021-03-25,climate,environment,428,0.521
114,377,2021-03-24,covid,vaccination,330,0.748
115,301,2021-09-10,gun,safety|responsible gun ownership,295,0.82
116,334,2021-11-19,capitol,freedom|senate,95,0.749
117,179,2020-10-11,covid,anti-vaccine,14,0.061
118,169,2020-12-07,rights,discrimination|civil rights,292,0.521
119,233,2021-12-11,rights,justice|discrimination,119,0.661
120,207,2020-11-18,immigra,border|diversity,526,0.619
121,321,2021-11-04,capitol,scandal|partisan|freedom,211,0.468
122,475,2020-02-22,covid,social distancing,119,0.594
123,82,2021-03-24,climate,environment|renewable energy|sustainability,41,0.801
124,116,2021-07-18,climate,carbon emissions,78,0.488
125,261,2021-04-17,immigra,wall,189,0.179
126,75,2021-03-01,climate,environment|protect planet,91,0.649
127,213,2020-07-14,rights,court|oppression|freedom of speech,234,0.543
128,429,2021-06-03,gun,safety|second amendment,194,0.645
129,478,2020-06-01,covid,5G|hoax,71,0.033
130,398,2020-07-12,gun,prevention|mass shooting|gun laws,39,0.534
131,340,2020-02-14,rights,oppression|legal rights,73,0.35
132,303,2021-05-22,abortion,medical privacy,104,0.692
133,446,2020-04-12,gun,responsible gun ownership|concealed carry,23,0.667
134,204,2020-03-17,abortion,procedure|SB8,146,0.52
135,278,2020-12-02,immigra,illegal|naturalization|border,100,0.344
136,472,2021-09-24,capitol,legislation,149,0.425
137,86,2020-08-20,climate,renewable energy|global warming|conspiracy,15,0.488
138,151,2020-01-30,climate,climate change,238,0.472
139,88,2021-01-18,gun,background checks|prevention,235,0.727
140,74,2020-03-21,abortion,murder|clinic|sin,365,0.237
141,347,2021-04-17,blacklivesmatter,George Floyd|activism|looting,347,0.504
142,218,2020-03-16,abortion,ban|Texas law,152,0.38
143,184,2021-04-12,climate,protect planet|global warming,72,0.714
144,5,2021-12-17,climate,sustainability|alarmism,75,0.506
145,318,2021-09-12,capitol,fraud|committee|legislation,151,0.364
146,322,2021-11-25,climate,conspiracy|alarmism|fake science,273,0.121
147,466,2021-10-04,immigra,opportunity|immigration law|deportation,21,0.647
148,277,2020-11-30,climate,global warming|green jobs|protect planet,21,0.743
149,152,2021-06-27,gun,second amendment|background checks|kill,513,0.57
150,116,2020-04-27,gun,responsible gun ownership|background checks,210,0.748
151,189,2021-07-24,rights,civil rights|violations,19,0.509
152,120,2021-08-21,climate,alarmism|climate change,17,0.399
153,155,2020-01-26,covid,vaccine|quarantine|microchip,360,0.469
154,156,2020-04-29,rights,human rights,438,0.916
155,344,2020-04-28,covid,quarantine,90,0.571
156,427,2021-08-24,rights,oppression|freedom of speech|law,159,0.516
157,121,2021-09-22,covid,social distancing|vaccination,88,0.672
158,204,2020-04-11,gun,firearms|concealed carry|violence,66,0.334
159,498,2020-07-13,climate,environment,153,0.579
160,106,2020-02-21,capitol,legislation|liberty,231,0.684
161,76,2021-07-21,immigra,alien,59,0.221
162,409,2020-10-10,capitol,liberty,116,0.929
163,9,2020-04-22,abortion,choice|medical privacy|abortion ban,133,0.555
164,270,2020-09-28,abortion,medical privacy,203,0.849
165,485,2020-03-06,immigra,deportation|border,105,0.451
166,246,2021-11-05,capitol,committee|scandal|democracy,9,0.515
167,312,2021-03-12,rights,civil rights|legal rights|oppression,12,0.56
168,300,2020-03-08,abortion,procedure,146,0.49
169,59,2021-01-25,gun,concealed carry|second amendment|open carry,236,0.464
170,233,2021-03-16,blacklivesmatter,community|demonstration,62,0.723
171,352,2021-03-01,rights,civil rights|privacy|law,460,0.735
172,50,2020-03-09,covid,wear mask,14,0.815
173,448,2020-05-13,gun,safety|mass shooting|concealed carry,79,0.381
174,296,2020-02-22,rights,judiciary|justice,64,0.697
175,143,2020-06-07,blacklivesmatter,movement|community|justice,18,0.749
176,312,2021-03-15,blacklivesmatter,all lives matter|looting|violence,122,0.155
177,4,2020-01-30,climate,ecology,62,0.787
178,498,2020-05-26,abortion,murder|healthcare|sin,202,0.309
179,370,2020-04-03,capitol,insurrection|congress|gridlock,69,0.277
180,317,2021-08-04,gun,responsible gun ownership|safety|background checks,25,0.829
181,213,2021-11-21,capitol,bill,140,0.451
182,348,2020-08-08,climate,renewable energy|climate change|global warming,17,0.652
183,155,2021-06-23,covid,infection|vaccination|stay safe,1,0.653
184,255,2020-05-20,blacklivesmatter,protest|assemble,19,0.606
185,343,2020-06-28,rights,law,122,0.515
186,236,2020-03-14,gun,assault weapon|safety,85,0.443
187,11,2020-11-16,immigra,naturalization|alien|deport,18,0.27
188,433,2020-06-24,gun,open carry|assault weapon|firearms,13,0.316
189,174,2020-09-06,immigra,alien|naturalization,55,0.325
190,59,2020-12-07,blacklivesmatter,stand together,107,0.872
191,102,2020-12-23,blacklivesmatter,anarchy|violence,23,0.085
192,396,2021-09-08,abortion,healthcare,29,0.766
193,241,2021-04-20,covid,conspiracy|vaccine|anti-vaccine,86,0.293
194,38,2021-10-08,covid,social distancing|vaccination,65,0.677
195,438,2021-04-17,climate,sustainability|conspiracy,155,0.447
196,489,2021-09-21,immigra,illegal|naturalization|deportation,130,0.43
197,416,2021-04-05,capitol,congress|voting|fraud,89,0.324
198,225,2020-03-27,gun,violence|background checks|safety,42,0.566
199,348,2021-06-20,covid,pandemic|hoax|microchip,223,0.276
200,348,2021-10-08,capitol,voting|patriot|riot,14,0.499
201,42,2020-10-17,rights,oppression|discrimination,24,0.291
202,481,2020-12-24,abortion,murder|medical privacy,135,0.425
203,379,2020-11-13,immigra,naturalization|wall|border,264,0.429
204,159,2021-10-23,immigra,naturalization|illegal|border,2,0.348
205,433,2020-08-07,abortion,sin|supreme court,12,0.354
206,449,2021-06-03,immigra,deport|illegal|opportunity,162,0.41
207,463,2021-09-03,abortion,medical privacy|abortion law,147,0.697
208,369,2021-03-24,abortion,life begins,67,0.32
209,402,2021-03-30,blacklivesmatter,protest|anarchy|activism,505,0.397
210,399,2020-07-17,covid,conspiracy|microchip,220,0.112
211,329,2021-05-29,rights,law|freedom of speech|equality,43,0.762
212,83,2021-01-15,covid,stay safe|microchip|community health,13,0.531
213,179,2021-04-05,climate,green jobs|global warming|renewable energy,89,0.75
214,121,2021-02-28,capitol,gridlock,104,0.288
215,172,2020-03-24,rights,equality|human rights,188,0.86
216,242,2020-05-20,abortion,Texas law,374,0.571
217,77,2021-12-23,abortion,pro-life|choice,36,0.558
218,123,2020-04-23,rights,equality|justice,19,0.875
219,324,2021-10-16,rights,legal rights|civil rights|violations,115,0.574
220,124,2020-05-27,blacklivesmatter,demonstration|solidarity,143,0.68
221,260,2020-07-10,rights,discrimination|civil rights|court,112,0.562
222,130,2021-02-03,capitol,freedom|gridlock,594,0.547
223,298,2020-12-31,capitol,corruption,16,0.254
224,417,2020-05-16,gun,firearms,118,0.573
225,235,2021-12-02,abortion,sin|abortion law,224,0.357
226,454,2020-10-27,capitol,freedom,234,0.783
227,386,2020-11-19,capitol,insurrection|gridlock,43,0.262
228,64,2020-10-19,blacklivesmatter,brotherhood|violence,60,0.471
229,255,2021-03-23,gun,assault weapon|open carry,545,0.339
230,221,2021-01-11,covid,social distancing|wear mask|hoax,82,0.446
231,309,2021-07-12,abortion,SB8|reproductive freedom,54,0.749
232,446,2020-06-19,rights,legal rights|privacy|abuse,6,0.552
233,327,2021-09-21,gun,second amendment|violence,11,0.446
234,16,2021-01-07,rights,violations|oppression|discrimination,26,0.201
235,197,2021-09-14,abortion,pro-life|women's rights|healthcare,68,0.696
236,191,2021-09-11,capitol,scandal,445,0.236
237,14,2020-03-19,covid,community health|hoax|COVID-19,484,0.474
238,361,2021-05-26,abortion,murder|reproductive freedom|medical privacy,223,0.604
239,461,2020-08-07,covid,infection|5G|stay safe,90,0.52
240,278,2020-03-30,covid,vaccine|hoax|5G,10,0.302
241,186,2020-11-03,climate,fake science,28,0.13
242,253,2020-05-04,blacklivesmatter,equality,40,0.785
243,368,2021-01-04,capitol,corruption|scandal|liberty,55,0.41
244,163,2021-06-22,covid,anti-vaccine|wear mask,20,0.426
245,328,2021-04-05,immigra,wall|illegal,227,0.118
246,266,2020-05-12,abortion,abortion ban|women's rights,267,0.585
247,482,2020-11-07,abortion,abortion law,63,0.515
248,141,2020-03-21,climate,protect planet|alarmism,469,0.596
249,320,2021-10-02,abortion,healthcare|abortion law,28,0.62
250,486,2021-07-31,gun,safety,12,0.764
251,456,2021-10-28,climate,conspiracy,4,0.038
252,351,2021-10-19,climate,environment|protect planet,244,0.67
253,105,2020-10-31,rights,civil rights|oppression,99,0.59
254,164,2021-09-13,gun,firearms,296,0.52
255,239,2021-02-12,gun,kill,57,0.006
256,149,2020-09-30,immigra,refugees welcome|innovation,15,0.857
257,98,2021-09-22,rights,equality|freedom of speech,191,0.9
258,12,2021-05-25,abortion,pro-life|sin|abortion ban,55,0.093
259,306,2021-02-06,immigra,deportation|refugees welcome|wall,49,0.46
260,136,2020-10-19,covid,public health|stay safe|COVID-19,21,0.709
261,148,2021-02-16,gun,safety|gun laws,67,0.736
262,320,2021-01-30,immigra,deportation|illegal|immigration law,261,0.404
263,188,2020-05-11,immigra,naturalization,122,0.447
264,20,2020-07-22,abortion,abortion ban|murder|procedure,6,0.372
265,477,2021-12-31,abortion,sin|pro-life,22,0.263
266,304,2020-06-15,gun,mass shooting|assault weapon,277,0.16
267,345,2021-06-03,gun,concealed carry|open carry|mass shooting,68,0.322
268,136,2021-03-02,immigra,immigration law|wall|opportunity,136,0.587
269,76,2020-02-22,blacklivesmatter,movement|unity|thug,275,0.469
270,161,2020-02-02,blacklivesmatter,chaos|justice|peaceful,2,0.54
271,447,2020-06-04,rights,oppression|equality,379,0.457
272,167,2021-12-23,capitol,insurrection,34,0.146
273,347,2021-06-22,covid,vaccine|pandemic,118,0.49
274,153,2021-09-16,climate,protect planet|conspiracy,49,0.49
275,287,2020-10-31,blacklivesmatter,chaos|peaceful,98,0.414
276,195,2020-10-21,climate,hoax,169,0.046
277,474,2020-12-19,rights,justice,12,1.0
278,276,2021-11-02,covid,5G|COVID-19,33,0.333
279,343,2021-07-29,climate,ecology|green jobs|renewable energy,41,0.75
280,170,2021-10-15,blacklivesmatter,brotherhood,15,0.806
281,451,2020-04-12,covid,community health|public health|social distancing,158,0.752
282,31,2021-05-03,covid,COVID-19|infection|pandemic,50,0.529
283,91,2021-10-29,immigra,refugees welcome|illegal|opportunity,320,0.65
284,5,2021-02-10,capitol,senate|committee,314,0.509
285,456,2021-08-04,climate,renewable energy|climate change|ecology,111,0.648
286,170,2021-05-31,abortion,procedure|supreme court,248,0.545
287,388,2021-04-14,abortion,procedure|abortion law|choice,125,0.626
288,45,2020-06-28,blacklivesmatter,violence|rally|demonstration,108,0.312
289,4,2021-11-16,rights,freedom of speech,411,0.907
290,489,2021-01-27,climate,environment,210,0.543
291,342,2020-11-05,gun,assault weapon|mass shooting|safety,40,0.313
292,473,2021-04-21,immigra,innovation|naturalization,173,0.722
293,113,2021-12-07,climate,alarmism,143,0.236
294,311,2021-05-04,abortion,pro-life,206,0.229
295,349,2021-03-01,gun,concealed carry|open carry|kill,215,0.38
296,289,2021-06-22,immigra,illegal|border,12,0.261
297,227,2020-03-04,immigra,illegal|refugees welcome|alien,289,0.377
298,47,2021-11-27,immigra,deport,131,0.093
299,414,2020-02-26,covid,community health|anti-vaccine,93,0.443
300,297,2020-01-23,climate,ecology|sustainability,205,0.83
301,479,2020-02-16,immigra,border|diversity,336,0.633
302,393,2020-02-02,covid,anti-vaccine|pandemic,219,0.32
303,277,2021-01-18,rights,legal rights|law,162,0.496
304,202,2021-10-31,abortion,reproductive freedom|abortion law,741,0.738
305,218,2020-08-16,abortion,choice,190,0.905
306,142,2020-08-23,rights,legal rights,63,0.542
307,9,2020-04-25,blacklivesmatter,looting,322,0.0
308,229,2020-07-30,blacklivesmatter,justice,135,0.941
309,29,2020-09-07,capitol,freedom|gridlock|scandal,298,0.437
310,396,2021-05-30,abortion,clinic|SB8,129,0.56
311,286,2020-08-30,gun,background checks|violence,48,0.399
312,483,2021-10-03,abortion,life begins|sin|choice,537,0.41
313,276,2021-06-21,rights,oppression|law,30,0.34
314,74,2020-09-03,covid,infection,292,0.523
315,170,2020-02-29,covid,anti-vaccine|microchip|social distancing,44,0.185
316,98,2021-04-05,immigra,diversity|illegal,193,0.491
317,287,2020-10-01,capitol,freedom|patriot,193,0.842
318,466,2021-05-05,blacklivesmatter,assemble,54,0.658
319,357,2020-08-04,capitol,constitution,368,0.798
320,145,2021-02-10,blacklivesmatter,riots,58,0.036
321,51,2021-04-22,rights,discrimination|privacy|justice,103,0.652
322,24,2020-11-23,covid,hoax,56,0.16
323,152,2020-05-29,blacklivesmatter,George Floyd,190,0.537
324,126,2020-07-19,abortion,clinic|murder,126,0.278
325,252,2021-07-17,covid,vaccine|social distancing|anti-mask,153,0.457
326,251,2020-06-21,covid,hoax|pandemic|wear mask,191,0.359
327,392,2021-07-09,abortion,women's rights|abortion ban|life begins,165,0.485
328,78,2021-02-26,capitol,legislation,10,0.401
329,248,2020-08-11,capitol,scandal|corruption|freedom,143,0.362
330,272,2020-01-17,covid,anti-vaccine,1,0.05
331,466,2021-07-02,climate,sustainability|carbon emissions,246,0.704
332,99,2020-04-19,abortion,abortion ban,24,0.131
333,125,2020-12-28,climate,conspiracy|global warming,92,0.436
334,195,2020-11-03,blacklivesmatter,stand together|violence|brotherhood,14,0.67
335,223,2021-07-19,rights,human rights|discrimination,103,0.596
336,118,2021-08-02,gun,concealed carry,377,0.502
337,279,2021-12-09,blacklivesmatter,movement|George Floyd|brotherhood,49,0.741
338,386,2020-07-02,capitol,democracy|congress,132,0.665
339,460,2020-03-19,rights,freedom of speech|judiciary,73,0.706
340,499,2021-01-28,gun,background checks|assault weapon|responsible gun ownership,104,0.668
341,315,2020-02-24,gun,gun laws,139,0.552
342,231,2020-11-30,rights,discrimination,47,0.27
343,396,2020-08-21,covid,anti-mask|anti-vaccine,71,0.126
344,365,2020-09-09,climate,renewable energy|conspiracy|ecology,25,0.628
345,390,2021-02-02,abortion,ban|reproductive freedom,88,0.61
346,230,2020-04-14,climate,renewable energy,31,0.865
347,167,2020-04-15,rights,civil rights,136,0.867
348,372,2020-01-13,rights,law|abuse,226,0.383
349,75,2021-08-08,blacklivesmatter,unity|looting|rally,46,0.493
350,401,2020-06-20,immigra,immigration law|naturalization,53,0.56
351,70,2021-01-04,immigra,refugees welcome|wall,91,0.416
352,442,2020-01-07,climate,climate change|hoax,71,0.327
353,486,2021-03-26,gun,gun laws|violence,57,0.352
354,150,2021-05-05,blacklivesmatter,unity|rally,519,0.681
355,59,2021-08-12,covid,vaccine,74,0.484
356,373,2021-08-29,blacklivesmatter,unity|looting|riots,4,0.398
357,435,2021-12-26,covid,conspiracy,10,0.128
358,130,2021-11-20,rights,freedom of speech|discrimination,54,0.46
359,260,2021-03-09,abortion,healthcare|pro-life,76,0.582
360,360,2021-07-10,rights,violations,518,0.197
361,289,2020-04-21,immigra,wall,142,0.135
362,114,2020-12-05,rights,civil rights|human rights,15,0.854
363,177,2021-04-01,blacklivesmatter,rally|activism,104,0.574
364,493,2021-05-09,capitol,committee,80,0.434
365,179,2020-04-28,immigra,innovation|border|immigration law,110,0.552
366,23,2020-04-09,covid,conspiracy|vaccine,10,0.398
367,125,2020-01-24,immigra,wall|diversity,619,0.462
368,491,2021-07-19,abortion,SB8,123,0.523
369,315,2020-08-25,covid,pandemic|microchip,4,0.266
370,106,2021-04-05,blacklivesmatter,demonstration|rally|solidarity,182,0.626
371,167,2021-12-21,climate,hoax,31,0.181
372,251,2021-04-13,blacklivesmatter,George Floyd,166,0.66
373,317,2021-09-03,gun,mass shooting|gun laws,280,0.261
374,61,2021-11-20,abortion,Texas law|healthcare|SB8,21,0.609
375,306,2020-11-08,blacklivesmatter,unity,73,0.811
376,276,2021-08-11,abortion,life begins|abortion law,100,0.42
377,318,2021-07-22,abortion,sin,276,0.142
378,418,2021-01-02,capitol,fraud,22,0.231
379,251,2021-07-29,rights,discrimination|legal rights|law,274,0.429
380,116,2020-03-25,abortion,choice|clinic|medical privacy,4,0.662
381,294,2020-06-21,climate,hoax|fake science,107,0.133
382,226,2020-10-01,immigra,border|illegal|opportunity,214,0.459
383,17,2021-03-11,blacklivesmatter,anarchy,53,0.08
384,61,2020-09-26,covid,wear mask|conspiracy,300,0.367
385,316,2020-08-02,blacklivesmatter,blue lives matter|chaos|march,83,0.297
386,273,2020-07-30,abortion,women's rights,126,0.747
387,461,2021-09-03,climate,green jobs|climate change|ecology,292,0.707
388,65,2020-05-18,immigra,opportunity|immigration law,302,0.713
389,251,2020-09-12,abortion,SB8,169,0.59
390,325,2021-08-14,abortion,procedure|life begins|supreme court,90,0.359
391,445,2021-02-16,immigra,deport|immigration law|border,130,0.311
392,204,2021-04-14,immigra,wall|border|diversity,238,0.5
393,296,2021-03-15,blacklivesmatter,movement,61,0.559
394,321,2021-08-02,abortion,SB8|women's rights,7,0.768
395,104,2020-01-17,covid,pandemic,475,0.548
396,185,2021-10-27,abortion,abortion law|procedure,14,0.526
397,359,2020-03-25,climate,alarmism|conspiracy,54,0.175
398,245,2021-03-15,blacklivesmatter,stand together|chaos|justice,1,0.657
399,441,2020-05-15,immigra,refugees welcome|illegal|deportation,254,0.567
400,197,2021-12-11,rights,legal rights,11,0.554
401,417,2020-04-14,immigra,border,72,0.472
402,313,2021-10-18,abortion,medical privacy|healthcare|procedure,124,0.725
403,112,2021-03-26,abortion,supreme court|medical privacy,87,0.726
404,197,2020-04-12,immigra,diversity,133,0.767
405,308,2021-03-15,gun,kill|background checks,42,0.426
406,106,2021-12-08,climate,alarmism,312,0.272
407,198,2021-02-05,blacklivesmatter,violence|brotherhood,41,0.494
408,456,2020-09-03,immigra,wall|alien,11,0.088
409,350,2021-01-04,capitol,liberty|gridlock,68,0.607
410,8,2021-04-27,abortion,choice,132,0.8
411,365,2020-08-08,climate,sustainability,50,0.898
412,316,2021-03-09,rights,law|civil rights|discrimination,115,0.544
413,80,2020-10-11,abortion,Texas law,549,0.649
414,159,2021-02-04,gun,violence|kill|assault weapon,154,0.137
415,312,2020-09-01,rights,equality,90,0.906
416,360,2020-11-12,capitol,senate|constitution|democracy,184,0.761
417,191,2020-06-16,capitol,corruption|insurrection,45,0.083
418,140,2020-10-02,abortion,reproductive freedom|choice|abortion law,246,0.73
419,440,2020-09-26,immigra,alien|wall|diversity,8,0.324
420,458,2021-01-11,abortion,procedure,222,0.501
421,187,2020-08-21,immigra,illegal|opportunity|wall,7,0.405
422,412,2020-06-02,rights,abuse,5,0.174
423,293,2020-08-17,rights,equality|law,262,0.743
424,265,2020-05-02,gun,violence|safety|background checks,37,0.545
425,45,2021-02-14,capitol,scandal,55,0.257
426,156,2020-01-09,covid,COVID-19|infection,124,0.461
427,280,2021-04-20,blacklivesmatter,blue lives matter|movement,197,0.461
428,278,2020-06-03,blacklivesmatter,demonstration,3,0.559
429,158,2021-10-13,gun,safety|firearms|kill,200,0.453
430,498,2020-07-29,immigra,refugees welcome|naturalization|deportation,487,0.558
431,359,2021-12-29,abortion,healthcare|women's rights,110,0.894
432,327,2021-04-14,gun,responsible gun ownership|mass shooting|kill,105,0.256
433,436,2020-03-17,rights,judiciary|human rights|law,51,0.646
434,120,2021-02-06,gun,assault weapon|firearms|kill,90,0.194
435,161,2020-07-26,immigra,alien,89,0.218
436,238,2020-05-03,rights,privacy|violations|equality,90,0.642
437,309,2020-05-02,climate,green jobs,182,0.815
438,496,2020-08-08,capitol,liberty|patriot,186,0.785
439,208,2021-02-09,gun,safety|violence|second amendment,4,0.474
440,407,2021-07-23,covid,quarantine|stay safe|microchip,16,0.619
441,422,2020-05-04,abortion,women's rights,21,0.869
442,133,2021-01-16,rights,discrimination|abuse|civil rights,130,0.312
443,464,2020-01-23,immigra,refugees welcome,20,0.864
444,474,2020-05-05,gun,open carry,7,0.469
445,96,2021-02-08,rights,human rights|law,36,0.702
446,316,2020-10-13,climate,green jobs|sustainability,142,0.797
447,197,2021-10-24,blacklivesmatter,movement|demonstration,13,0.607
448,411,2021-03-05,abortion,abortion ban,42,0.162
449,139,2021-01-26,capitol,corruption|fraud|insurrection,58,0.147
450,399,2020-01-27,abortion,clinic|choice,339,0.729
451,52,2020-02-29,climate,carbon emissions|climate change,547,0.546
452,406,2021-11-03,blacklivesmatter,George Floyd,114,0.403
453,358,2020-08-12,capitol,gridlock|corruption|senate,246,0.397
454,486,2021-08-28,gun,assault weapon,180,0.16
455,29,2021-07-30,abortion,sin,5,0.12
456,1,2021-09-08,blacklivesmatter,solidarity,112,0.892
457,433,2021-09-20,gun,kill,376,0.104
458,470,2020-03-01,gun,background checks,132,0.858
459,173,2020-04-23,abortion,ban|healthcare|abortion law,132,0.496
460,224,2020-11-26,climate,green jobs,197,0.729
461,158,2021-10-26,covid,pandemic|hoax,28,0.336
462,360,2020-05-10,climate,fake science,1,0.216
463,114,2021-08-04,rights,freedom of speech,514,0.76
464,122,2021-05-23,immigra,border,205,0.432
465,328,2020-11-23,gun,violence,185,0.116
466,355,2021-04-02,gun,second amendment,35,0.536
